r0,r1,r2,r3,rounds,trials,mean_flip,max_dev,zero_pairs
16,3,8,30,1,4000,0.36932,0.50000,7651
16,18,8,8,1,4000,0.35826,0.50000,10496
16,3,8,24,1,4000,0.36920,0.50000,7943
16,2,8,3,1,4000,0.35471,0.50000,8608
16,5,8,6,1,4000,0.38003,0.50000,7182
16,6,8,30,1,4000,0.37423,0.50000,6692
16,18,8,7,1,4000,0.35821,0.50000,10638
16,9,8,25,1,4000,0.36631,0.50000,7272
16,11,8,20,1,4000,0.37421,0.50000,7713
16,11,8,4,1,4000,0.37431,0.50000,7371
16,20,8,19,1,4000,0.35627,0.50000,12314
16,26,8,30,1,4000,0.35713,0.50000,14091
16,13,8,3,1,4000,0.36338,0.50000,7905
16,3,8,31,1,4000,0.36937,0.50000,7989
16,29,8,10,1,4000,0.35130,0.50000,12754
16,30,8,4,1,4000,0.33379,0.50000,12754
16,9,8,4,1,4000,0.36639,0.50000,6926
16,26,8,2,1,4000,0.35710,0.50000,14914
16,27,8,10,1,4000,0.35898,0.50000,13544
16,1,8,20,1,4000,0.32513,0.50000,9804
16,22,8,1,1,4000,0.35022,0.50000,14225
16,3,8,14,1,4000,0.36936,0.50000,7813
16,4,8,27,1,4000,0.36821,0.50000,7033
16,29,8,26,1,4000,0.35125,0.50000,13387
16,2,8,7,1,4000,0.35482,0.50000,8546
16,19,8,14,1,4000,0.36468,0.50000,11376
16,6,8,4,1,4000,0.37414,0.50000,6936
16,22,8,8,1,4000,0.35032,0.50000,13918
16,6,8,24,1,4000,0.37421,0.50000,6456
16,14,8,30,1,4000,0.34926,0.50000,8593
16,31,8,13,1,4000,0.30674,0.50000,13832
16,26,8,18,1,4000,0.35712,0.50000,14745
16,30,8,27,1,4000,0.33379,0.50000,13336
16,10,8,18,1,4000,0.37708,0.50000,7228
16,4,8,7,1,4000,0.36815,0.50000,7142
16,2,8,1,1,4000,0.35489,0.50000,8847
16,1,8,26,1,4000,0.32522,0.50000,10167
16,30,8,10,1,4000,0.33382,0.50000,12957
16,11,8,15,1,4000,0.37423,0.50000,7542
16,13,8,11,1,4000,0.36336,0.50000,8281
16,25,24,3,1,4000,0.36545,0.50000,7837
16,22,24,31,1,4000,0.37489,0.50000,6045
16,9,24,18,1,4000,0.34160,0.50000,12368
16,18,24,15,1,4000,0.36364,0.50000,7052
16,1,24,13,1,4000,0.31914,0.50000,17465
16,27,24,11,1,4000,0.37234,0.50000,9660
16,6,24,9,1,4000,0.34828,0.50000,14761
16,26,24,21,1,4000,0.37579,0.50000,8970
16,30,24,14,1,4000,0.33507,0.50000,15757
16,19,24,1,1,4000,0.37258,0.50000,6397
16,2,24,23,1,4000,0.34498,0.50000,16861
16,12,24,19,1,4000,0.35546,0.50000,8489
16,5,24,19,1,4000,0.35821,0.50000,15569
16,5,24,5,1,4000,0.35826,0.50000,16037
16,11,24,18,1,4000,0.36505,0.50000,10253
16,20,24,30,1,4000,0.36589,0.50000,6353
16,21,24,9,1,4000,0.38120,0.50000,6176
